Object,Region.Label,Sample.Label,Area,Effort.S,Effort,distance
1,Vijaydurg,V1,70.9,2.9632,20.7424,
2,Vijaydurg,V2,70.9,2.4076,16.8532,
3,Vijaydurg,V3,70.9,3.5188,24.6316,
4,Vijaydurg,V4,70.9,4.0744,28.5208,87.95
5,Vijaydurg,V5,70.9,2.9632,20.7424,
6,Vijaydurg,V6,70.9,3.3336,23.3352,
7,Vijaydurg,V7,70.9,3.1484,22.0388,458.0942954
8,Vijaydurg,V8,70.9,3.8892,27.2244,23.76411479
9,Vijaydurg,V9,70.9,3.704,25.928,154.013671
10,Vijaydurg,V9,70.9,3.704,25.928,116.243984
11,Vijaydurg,V10,70.9,3.8892,27.2244,274.9
12,Vijaydurg,V10,70.9,3.8892,27.2244,262.011737
13,Vijaydurg,V10,70.9,3.8892,27.2244,123.7
14,Vijaydurg,V10,70.9,3.8892,27.2244,136.45
15,Vijaydurg,V11,70.9,3.8892,27.2244,41.138159
16,Vijaydurg,V12,70.9,3.5188,24.6316,
17,Vijaydurg,V13,70.9,0.926,6.482,
18,Vijaydurg,V1,70.9,2.9632,20.7424,35.8
19,Vijaydurg,V2,70.9,2.4076,16.8532,
20,Vijaydurg,V3,70.9,3.5188,24.6316,
21,Vijaydurg,V4,70.9,4.0744,28.5208,
22,Vijaydurg,V5,70.9,2.9632,20.7424,85.66342092
23,Vijaydurg,V6,70.9,3.3336,23.3352,
24,Vijaydurg,V7,70.9,3.1484,22.0388,128.717551
25,Vijaydurg,V8,70.9,3.8892,27.2244,
26,Vijaydurg,V9,70.9,3.704,25.928,
27,Vijaydurg,V10,70.9,3.8892,27.2244,247.1
28,Vijaydurg,V10,70.9,3.8892,27.2244,89.27473827
29,Vijaydurg,V11,70.9,3.8892,27.2244,
30,Vijaydurg,V12,70.9,3.5188,24.6316,442.3
31,Vijaydurg,V13,70.9,0.926,6.482,
32,Vijaydurg,V1,70.9,2.9632,20.7424,
33,Vijaydurg,V2,70.9,2.4076,16.8532,42.9
34,Vijaydurg,V2,70.9,2.4076,16.8532,75.35
35,Vijaydurg,V3,70.9,3.5188,24.6316,
36,Vijaydurg,V4,70.9,4.0744,28.5208,31.6
37,Vijaydurg,V5,70.9,2.9632,20.7424,64.1
38,Vijaydurg,V6,70.9,3.3336,23.3352,59.8
39,Vijaydurg,V7,70.9,3.1484,22.0388,
40,Vijaydurg,V8,70.9,3.8892,27.2244,206.906057
41,Vijaydurg,V9,70.9,3.704,25.928,
42,Vijaydurg,V10,70.9,3.8892,27.2244,86.1
43,Vijaydurg,V11,70.9,3.8892,27.2244,
44,Vijaydurg,V12,70.9,3.5188,24.6316,207.6455286
45,Vijaydurg,V13,70.9,0.926,6.482,
46,Vijaydurg,V1,70.9,2.9632,20.7424,
47,Vijaydurg,V2,70.9,2.4076,16.8532,49.512099
48,Vijaydurg,V3,70.9,3.5188,24.6316,29.053933
49,Vijaydurg,V4,70.9,4.0744,28.5208,
50,Vijaydurg,V5,70.9,2.9632,20.7424,189.8
51,Vijaydurg,V6,70.9,3.3336,23.3352,
52,Vijaydurg,V7,70.9,3.1484,22.0388,92.4
53,Vijaydurg,V8,70.9,3.8892,27.2244,471.8
54,Vijaydurg,V9,70.9,3.704,25.928,26.9
55,Vijaydurg,V10,70.9,3.8892,27.2244,
56,Vijaydurg,V11,70.9,3.8892,27.2244,158.6
57,Vijaydurg,V12,70.9,3.5188,24.6316,
58,Vijaydurg,V13,70.9,0.926,6.482,
59,Vijaydurg,V1,70.9,2.9632,20.7424,148.6
60,Vijaydurg,V2,70.9,2.4076,16.8532,121.3
61,Vijaydurg,V3,70.9,3.5188,24.6316,289.5
62,Vijaydurg,V4,70.9,4.0744,28.5208,255.7
63,Vijaydurg,V5,70.9,2.9632,20.7424,
64,Vijaydurg,V6,70.9,3.3336,23.3352,327.4
65,Vijaydurg,V7,70.9,3.1484,22.0388,418.9
66,Vijaydurg,V8,70.9,3.8892,27.2244,
67,Vijaydurg,V9,70.9,3.704,25.928,61.922051
68,Vijaydurg,V9,70.9,3.704,25.928,62.572403
69,Vijaydurg,V10,70.9,3.8892,27.2244,96.770761
70,Vijaydurg,V11,70.9,3.8892,27.2244,
71,Vijaydurg,V12,70.9,3.5188,24.6316,
72,Vijaydurg,V13,70.9,0.926,6.482,168.2
73,Vijaydurg,V1,70.9,2.9632,20.7424,38.6
74,Vijaydurg,V2,70.9,2.4076,16.8532,33.4
75,Vijaydurg,V3,70.9,3.5188,24.6316,88.1
76,Vijaydurg,V4,70.9,4.0744,28.5208,131.6
77,Vijaydurg,V5,70.9,2.9632,20.7424,239.8
78,Vijaydurg,V6,70.9,3.3336,23.3352,
79,Vijaydurg,V7,70.9,3.1484,22.0388,78.9
80,Vijaydurg,V8,70.9,3.8892,27.2244,
81,Vijaydurg,V9,70.9,3.704,25.928,
82,Vijaydurg,V9,70.9,3.704,25.928,214.2
83,Vijaydurg,V10,70.9,3.8892,27.2244,83.7
84,Vijaydurg,V11,70.9,3.8892,27.2244,195.9
85,Vijaydurg,V12,70.9,3.5188,24.6316,
86,Vijaydurg,V13,70.9,0.926,6.482,
87,Vijaydurg,V1,70.9,2.9632,20.7424,21.8
88,Vijaydurg,V2,70.9,2.4076,16.8532,160.4
89,Vijaydurg,V3,70.9,3.5188,24.6316,
90,Vijaydurg,V4,70.9,4.0744,28.5208,139.8
91,Vijaydurg,V5,70.9,2.9632,20.7424,43.1
92,Vijaydurg,V6,70.9,3.3336,23.3352,36.5
93,Vijaydurg,V7,70.9,3.1484,22.0388,
94,Vijaydurg,V8,70.9,3.8892,27.2244,252.7
95,Vijaydurg,V9,70.9,3.704,25.928,86.2
96,Vijaydurg,V9,70.9,3.704,25.928,
97,Vijaydurg,V10,70.9,3.8892,27.2244,
98,Vijaydurg,V11,70.9,3.8892,27.2244,268.1
99,Vijaydurg,V12,70.9,3.5188,24.6316,281.9
100,Vijaydurg,V13,70.9,0.926,6.482,
