Category	Day	Channel	Time
noise	20160501	Ch1	10
noise	20160501	Ch1	112
noise	20160501	Ch1	0
noise	20160501	Ch1	101
noise	20160501	Ch1	105
noise	20160501	Ch1	108
noise	20160501	Ch1	115
noise	20160501	Ch1	119
noise	20160501	Ch1	129
noise	20160501	Ch1	133
noise	20160501	Ch1	122
noise	20160501	Ch1	126
noise	20160501	Ch1	14
noise	20160501	Ch1	150
noise	20160501	Ch1	136
noise	20160501	Ch1	140
noise	20160501	Ch1	143
noise	20160501	Ch1	147
noise	20160501	Ch1	168
noise	20160501	Ch1	171
noise	20160501	Ch1	154
noise	20160501	Ch1	157
noise	20160501	Ch1	161
noise	20160501	Ch1	164
noise	20160501	Ch1	17
noise	20160501	Ch1	182
noise	20160501	Ch1	185
noise	20160501	Ch1	189
noise	20160501	Ch1	175
noise	20160501	Ch1	178
noise	20160501	Ch1	192
noise	20160501	Ch1	196
noise	20160501	Ch1	199
noise	20160501	Ch1	203
noise	20160501	Ch1	206
noise	20160501	Ch1	210
noise	20160501	Ch1	21
noise	20160501	Ch1	220
noise	20160501	Ch1	213
noise	20160501	Ch1	217
noise	20160501	Ch1	224
noise	20160501	Ch1	227
noise	20160501	Ch1	238
noise	20160501	Ch1	241
noise	20160501	Ch1	231
noise	20160501	Ch1	234
noise	20160501	Ch1	245
noise	20160501	Ch1	248
noise	20160501	Ch1	255
noise	20160501	Ch1	259
noise	20160501	Ch1	24
noise	20160501	Ch1	252
noise	20160501	Ch1	262
noise	20160501	Ch1	266
noise	20160501	Ch1	276
noise	20160501	Ch1	280
noise	20160501	Ch1	269
noise	20160501	Ch1	273
noise	20160501	Ch1	283
noise	20160501	Ch1	287
noise	20160501	Ch1	294
noise	20160501	Ch1	31
noise	20160501	Ch1	28
noise	20160501	Ch1	290
noise	20160501	Ch1	35
noise	20160501	Ch1	38
noise	20160501	Ch1	3
noise	20160501	Ch1	42
noise	20160501	Ch1	45
noise	20160501	Ch1	49
noise	20160501	Ch1	52
noise	20160501	Ch1	56
noise	20160501	Ch1	59
noise	20160501	Ch1	63
noise	20160501	Ch1	66
noise	20160501	Ch1	70
noise	20160501	Ch1	73
noise	20160501	Ch1	77
noise	20160501	Ch1	7
noise	20160501	Ch1	80
noise	20160501	Ch1	84
noise	20160501	Ch1	87
noise	20160501	Ch1	91
noise	20160501	Ch1	94
noise	20160502	Ch1	101
noise	20160502	Ch1	105
noise	20160501	Ch1	98
noise	20160502	Ch1	0
noise	20160502	Ch1	108
noise	20160502	Ch1	10
noise	20160502	Ch1	119
noise	20160502	Ch1	122
noise	20160502	Ch1	112
noise	20160502	Ch1	115
noise	20160502	Ch1	126
noise	20160502	Ch1	129
noise	20160502	Ch1	133
noise	20160502	Ch1	136
noise	20160502	Ch1	140
noise	20160502	Ch1	143
noise	20160502	Ch1	147
noise	20160502	Ch1	14
noise	20160502	Ch1	150
noise	20160502	Ch1	154
noise	20160502	Ch1	157
noise	20160502	Ch1	161
noise	20160502	Ch1	164
noise	20160502	Ch1	168
noise	20160502	Ch1	178
noise	20160502	Ch1	17
noise	20160502	Ch1	171
noise	20160502	Ch1	175
noise	20160502	Ch1	182
noise	20160502	Ch1	185
noise	20160502	Ch1	189
noise	20160502	Ch1	192
noise	20160502	Ch1	196
noise	20160502	Ch1	199
noise	20160502	Ch1	203
noise	20160502	Ch1	206
noise	20160502	Ch1	210
noise	20160502	Ch1	213
noise	20160502	Ch1	217
noise	20160502	Ch1	21
noise	20160502	Ch1	220
noise	20160502	Ch1	224
noise	20160502	Ch1	227
noise	20160502	Ch1	231
noise	20160502	Ch1	234
noise	20160502	Ch1	238
noise	20160502	Ch1	241
noise	20160502	Ch1	245
noise	20160502	Ch1	248
noise	20160502	Ch1	24
noise	20160502	Ch1	252
noise	20160502	Ch1	255
noise	20160502	Ch1	259
noise	20160502	Ch1	262
noise	20160502	Ch1	273
noise	20160502	Ch1	276
noise	20160502	Ch1	266
noise	20160502	Ch1	269
noise	20160502	Ch1	280
noise	20160502	Ch1	283
noise	20160502	Ch1	287
noise	20160502	Ch1	28
noise	20160502	Ch1	290
noise	20160502	Ch1	294
noise	20160502	Ch1	31
noise	20160502	Ch1	35
noise	20160502	Ch1	42
noise	20160502	Ch1	45
noise	20160502	Ch1	38
noise	20160502	Ch1	3
noise	20160502	Ch1	49
noise	20160502	Ch1	52
noise	20160502	Ch1	56
noise	20160502	Ch1	59
noise	20160502	Ch1	63
noise	20160502	Ch1	66
noise	20160502	Ch1	70
noise	20160502	Ch1	73
noise	20160502	Ch1	80
noise	20160502	Ch1	84
noise	20160502	Ch1	77
noise	20160502	Ch1	7
noise	20160502	Ch1	87
noise	20160502	Ch1	91
noise	20160505	Ch1	0
noise	20160505	Ch1	101
noise	20160502	Ch1	94
noise	20160502	Ch1	98
noise	20160505	Ch1	105
noise	20160505	Ch1	108
noise	20160505	Ch1	10
noise	20160505	Ch1	112
noise	20160505	Ch1	115
noise	20160505	Ch1	119
noise	20160505	Ch1	122
noise	20160505	Ch1	126
noise	20160505	Ch1	129
noise	20160505	Ch1	133
noise	20160505	Ch1	136
noise	20160505	Ch1	140
noise	20160505	Ch1	143
noise	20160505	Ch1	147
noise	20160505	Ch1	154
noise	20160505	Ch1	157
noise	20160505	Ch1	14
noise	20160505	Ch1	150
noise	20160505	Ch1	161
noise	20160505	Ch1	164
noise	20160505	Ch1	168
noise	20160505	Ch1	171
noise	20160505	Ch1	175
noise	20160505	Ch1	178
noise	20160505	Ch1	17
noise	20160505	Ch1	182
noise	20160505	Ch1	192
noise	20160505	Ch1	196
noise	20160505	Ch1	185
noise	20160505	Ch1	189
noise	20160505	Ch1	199
noise	20160505	Ch1	203
noise	20160505	Ch1	213
noise	20160505	Ch1	217
noise	20160505	Ch1	206
noise	20160505	Ch1	210
noise	20160505	Ch1	21
noise	20160505	Ch1	220
noise	20160505	Ch1	224
noise	20160505	Ch1	227
noise	20160505	Ch1	231
noise	20160505	Ch1	234
noise	20160505	Ch1	238
noise	20160505	Ch1	241
noise	20160505	Ch1	245
noise	20160505	Ch1	248
noise	20160505	Ch1	24
noise	20160505	Ch1	252
noise	20160505	Ch1	255
noise	20160505	Ch1	259
noise	20160505	Ch1	262
noise	20160505	Ch1	266
noise	20160505	Ch1	269
noise	20160505	Ch1	273
noise	20160505	Ch1	276
noise	20160505	Ch1	280
noise	20160505	Ch1	28
noise	20160505	Ch1	290
noise	20160505	Ch1	283
noise	20160505	Ch1	287
noise	20160505	Ch1	294
noise	20160505	Ch1	31
noise	20160505	Ch1	3
noise	20160505	Ch1	42
noise	20160505	Ch1	35
noise	20160505	Ch1	38
noise	20160505	Ch1	45
noise	20160505	Ch1	49
noise	20160505	Ch1	52
noise	20160505	Ch1	56
noise	20160505	Ch1	59
noise	20160505	Ch1	63
noise	20160505	Ch1	66
noise	20160505	Ch1	70
noise	20160505	Ch1	73
noise	20160505	Ch1	77
noise	20160505	Ch1	7
noise	20160505	Ch1	80
noise	20160505	Ch1	84
noise	20160505	Ch1	87
noise	20160505	Ch1	98
sar	20160512	Ch1	200
noise	20160505	Ch1	91
noise	20160505	Ch1	94
sar	20160512	Ch1	201
sar	20160512	Ch1	204
sar	20160512	Ch1	205
sar	20160512	Ch1	206
sar	20160512	Ch1	208
sar	20160512	Ch1	210
sar	20160512	Ch1	211
sar	20160512	Ch1	212
sar	20160512	Ch1	219
sar	20160512	Ch1	223
sar	20160512	Ch1	214
sar	20160512	Ch1	217
sar	20160512	Ch1	224
sar	20160512	Ch1	225
sar	20160512	Ch1	226
sar	20160512	Ch1	229
sar	20160512	Ch1	231
sar	20160512	Ch1	238
sar	20160512	Ch1	241
sar	20160512	Ch1	242
sar	20160512	Ch1	247
sar	20160512	Ch1	248
sar	20160512	Ch1	244
sar	20160512	Ch1	245
sar	20160512	Ch1	249
sar	20160512	Ch1	250
sar	20160512	Ch1	255
sar	20160512	Ch1	256
sar	20160512	Ch1	251
sar	20160512	Ch1	254
sar	20160512	Ch1	257
sar	20160512	Ch1	260
sar	20160512	Ch1	270
sar	20160512	Ch1	271
sar	20160512	Ch1	268
sar	20160512	Ch1	269
sar	20160512	Ch1	274
sar	20160512	Ch1	277
sar	20160512	Ch1	288
sar	20160512	Ch1	290
sar	20160512	Ch1	280
sar	20160512	Ch1	283
sar	20160512	Ch1	293
sar	20160513	Ch1	102
sar	20160513	Ch1	12
sar	20160513	Ch1	140
sar	20160513	Ch1	151
sar	20160513	Ch1	165
sar	20160513	Ch1	168
sar	20160513	Ch1	16
sar	20160513	Ch1	23
sar	20160513	Ch1	2
sar	20160513	Ch1	170
sar	20160513	Ch1	1
sar	20160513	Ch1	35
sar	20160513	Ch1	3
sar	20160513	Ch1	73
sar	20160513	Ch1	74
sar	20160513	Ch1	41
sar	20160513	Ch1	52
sar	20160513	Ch1	81
sar	20160513	Ch1	82
sar	20160513	Ch1	86
sar	20160513	Ch1	90
sar	20160513	Ch1	92
sar	20160513	Ch1	93
sar	20160513	Ch1	95
sar	20160513	Ch1	99
sar	20160513	Ch1	9
sar	20160527	Ch1	104
sar	20160527	Ch1	108
sar	20160527	Ch1	119
sar	20160527	Ch1	11
sar	20160527	Ch1	124
sar	20160527	Ch1	130
sar	20160527	Ch1	133
sar	20160527	Ch1	125
sar	20160527	Ch1	127
sar	20160527	Ch1	134
sar	20160527	Ch1	140
sar	20160527	Ch1	151
sar	20160527	Ch1	159
sar	20160527	Ch1	142
sar	20160527	Ch1	145
sar	20160527	Ch1	162
sar	20160527	Ch1	169
sar	20160527	Ch1	171
sar	20160527	Ch1	173
sar	20160527	Ch1	175
sar	20160527	Ch1	180
sar	20160527	Ch1	188
sar	20160527	Ch1	190
sar	20160527	Ch1	191
sar	20160527	Ch1	192
sar	20160527	Ch1	195
sar	20160527	Ch1	197
sar	20160527	Ch1	198
sar	20160527	Ch1	202
sar	20160527	Ch1	209
sar	20160527	Ch1	212
sar	20160527	Ch1	205
sar	20160527	Ch1	208
sar	20160527	Ch1	213
sar	20160527	Ch1	219
sar	20160527	Ch1	224
sar	20160527	Ch1	225
sar	20160527	Ch1	21
sar	20160527	Ch1	221
sar	20160527	Ch1	228
sar	20160527	Ch1	229
sar	20160527	Ch1	237
sar	20160527	Ch1	238
sar	20160527	Ch1	230
sar	20160527	Ch1	236
sar	20160527	Ch1	239
sar	20160527	Ch1	241
sar	20160527	Ch1	257
sar	20160527	Ch1	260
sar	20160527	Ch1	253
sar	20160527	Ch1	256
sar	20160527	Ch1	265
sar	20160527	Ch1	271
sar	20160527	Ch1	273
sar	20160527	Ch1	276
sar	20160527	Ch1	280
sar	20160527	Ch1	285
sar	20160527	Ch1	286
sar	20160527	Ch1	35
sar	20160527	Ch1	49
sar	20160527	Ch1	4
sar	20160527	Ch1	37
sar	20160527	Ch1	46
sar	20160527	Ch1	62
sar	20160527	Ch1	72
sar	20160527	Ch1	81
sar	20160527	Ch1	82
sar	20160527	Ch1	74
sar	20160527	Ch1	76
sar	20160527	Ch1	85
sar	20160527	Ch1	88
sar	20160527	Ch1	99
wct	20160802	Ch1	103
sar	20160527	Ch1	8
sar	20160527	Ch1	96
wct	20160802	Ch1	109
wct	20160802	Ch1	113
wct	20160802	Ch1	22
wct	20160802	Ch1	24
wct	20160802	Ch1	12
wct	20160802	Ch1	13
wct	20160802	Ch1	26
wct	20160802	Ch1	2
wct	20160802	Ch1	34
wct	20160802	Ch1	42
wct	20160802	Ch1	44
wct	20160802	Ch1	51
wct	20160802	Ch1	62
wct	20160802	Ch1	63
wct	20160802	Ch1	71
wct	20160802	Ch1	79
wct	20160802	Ch1	84
wct	20160802	Ch1	88
wct	20160802	Ch1	8
wct	20160802	Ch1	91
wct	20180709	Ch1	130
wct	20180709	Ch1	131
wct	20160802	Ch1	97
wct	20180709	Ch1	124
wct	20180709	Ch1	147
wct	20180709	Ch1	167
wct	20180709	Ch1	186
wct	20180709	Ch1	199
wct	20180709	Ch1	171
wct	20180709	Ch1	173
wct	20180709	Ch1	205
wct	20180709	Ch1	217
wct	20180709	Ch1	268
wct	20180709	Ch1	269
wct	20180709	Ch1	238
wct	20180709	Ch1	245
wct	20180709	Ch1	93
wct	20180709	Ch1	286
wct	20180709	Ch1	287
wct	20180710	Ch1	106
wct	20180710	Ch1	113
wct	20180710	Ch1	125
wct	20180710	Ch1	12
wct	20180710	Ch1	130
wct	20180710	Ch1	150
wct	20180710	Ch1	157
wct	20180710	Ch1	19
wct	20180710	Ch1	1
wct	20180710	Ch1	30
wct	20180710	Ch1	37
wct	20180710	Ch1	65
wct	20180710	Ch1	70
wct	20180710	Ch1	46
wct	20180710	Ch1	53
wct	20180710	Ch1	87
wct	20180710	Ch1	94
wct	20180716	Ch1	183
wct	20180716	Ch1	184
wct	20180716	Ch1	203
wct	20180716	Ch1	216
