Category	Day	Channel	Time
noise	20160501	Ch1	10
noise	20160501	Ch1	112
noise	20160501	Ch1	0
noise	20160501	Ch1	101
noise	20160501	Ch1	105
noise	20160501	Ch1	108
noise	20160501	Ch1	115
noise	20160501	Ch1	119
noise	20160501	Ch1	129
noise	20160501	Ch1	133
noise	20160501	Ch1	122
noise	20160501	Ch1	126
noise	20160501	Ch1	14
noise	20160501	Ch1	150
noise	20160501	Ch1	136
noise	20160501	Ch1	140
noise	20160501	Ch1	143
noise	20160501	Ch1	147
noise	20160501	Ch1	168
noise	20160501	Ch1	171
noise	20160501	Ch1	154
noise	20160501	Ch1	157
noise	20160501	Ch1	161
noise	20160501	Ch1	164
noise	20160501	Ch1	17
noise	20160501	Ch1	182
noise	20160501	Ch1	185
noise	20160501	Ch1	189
noise	20160501	Ch1	175
noise	20160501	Ch1	178
noise	20160501	Ch1	192
noise	20160501	Ch1	196
noise	20160501	Ch1	199
noise	20160501	Ch1	203
noise	20160501	Ch1	206
noise	20160501	Ch1	210
noise	20160501	Ch1	21
noise	20160501	Ch1	220
noise	20160501	Ch1	213
noise	20160501	Ch1	217
noise	20160501	Ch1	224
noise	20160501	Ch1	227
noise	20160501	Ch1	238
noise	20160501	Ch1	241
noise	20160501	Ch1	231
noise	20160501	Ch1	234
noise	20160501	Ch1	245
noise	20160501	Ch1	248
noise	20160501	Ch1	255
noise	20160501	Ch1	259
noise	20160501	Ch1	24
noise	20160501	Ch1	252
noise	20160501	Ch1	262
noise	20160501	Ch1	266
noise	20160501	Ch1	276
noise	20160501	Ch1	280
noise	20160501	Ch1	269
noise	20160501	Ch1	273
noise	20160501	Ch1	283
noise	20160501	Ch1	287
noise	20160501	Ch1	294
noise	20160501	Ch1	31
noise	20160501	Ch1	28
noise	20160501	Ch1	290
noise	20160501	Ch1	35
noise	20160501	Ch1	38
noise	20160501	Ch1	3
noise	20160501	Ch1	42
noise	20160501	Ch1	45
noise	20160501	Ch1	49
noise	20160501	Ch1	52
noise	20160501	Ch1	56
noise	20160501	Ch1	59
noise	20160501	Ch1	63
noise	20160501	Ch1	66
noise	20160501	Ch1	70
noise	20160501	Ch1	73
noise	20160501	Ch1	77
noise	20160501	Ch1	7
noise	20160501	Ch1	80
noise	20160501	Ch1	84
noise	20160501	Ch1	87
noise	20160501	Ch1	91
noise	20160501	Ch1	94
noise	20160502	Ch1	101
noise	20160502	Ch1	105
noise	20160501	Ch1	98
noise	20160502	Ch1	0
noise	20160502	Ch1	108
noise	20160502	Ch1	10
noise	20160502	Ch1	119
noise	20160502	Ch1	122
noise	20160502	Ch1	112
noise	20160502	Ch1	115
noise	20160502	Ch1	126
noise	20160502	Ch1	129
noise	20160502	Ch1	133
noise	20160502	Ch1	136
noise	20160502	Ch1	140
noise	20160502	Ch1	143
noise	20160502	Ch1	147
noise	20160502	Ch1	14
noise	20160502	Ch1	150
noise	20160502	Ch1	154
noise	20160502	Ch1	157
noise	20160502	Ch1	161
noise	20160502	Ch1	164
noise	20160502	Ch1	168
noise	20160502	Ch1	178
noise	20160502	Ch1	17
noise	20160502	Ch1	171
noise	20160502	Ch1	175
noise	20160502	Ch1	182
noise	20160502	Ch1	185
noise	20160502	Ch1	189
noise	20160502	Ch1	192
noise	20160502	Ch1	196
noise	20160502	Ch1	199
noise	20160502	Ch1	203
noise	20160502	Ch1	206
noise	20160502	Ch1	210
noise	20160502	Ch1	213
noise	20160502	Ch1	217
noise	20160502	Ch1	21
noise	20160502	Ch1	220
noise	20160502	Ch1	224
noise	20160502	Ch1	227
noise	20160502	Ch1	231
noise	20160502	Ch1	234
noise	20160502	Ch1	238
noise	20160502	Ch1	241
noise	20160502	Ch1	245
noise	20160502	Ch1	248
noise	20160502	Ch1	24
noise	20160502	Ch1	252
noise	20160502	Ch1	255
noise	20160502	Ch1	259
noise	20160502	Ch1	262
noise	20160502	Ch1	273
noise	20160502	Ch1	276
noise	20160502	Ch1	266
noise	20160502	Ch1	269
noise	20160502	Ch1	280
noise	20160502	Ch1	283
noise	20160502	Ch1	287
noise	20160502	Ch1	28
noise	20160502	Ch1	290
noise	20160502	Ch1	294
noise	20160502	Ch1	31
noise	20160502	Ch1	35
noise	20160502	Ch1	42
noise	20160502	Ch1	45
noise	20160502	Ch1	38
noise	20160502	Ch1	3
noise	20160502	Ch1	49
noise	20160502	Ch1	52
noise	20160502	Ch1	56
noise	20160502	Ch1	59
noise	20160502	Ch1	63
noise	20160502	Ch1	66
noise	20160502	Ch1	70
noise	20160502	Ch1	73
noise	20160502	Ch1	80
noise	20160502	Ch1	84
noise	20160502	Ch1	77
noise	20160502	Ch1	7
noise	20160502	Ch1	87
noise	20160502	Ch1	91
noise	20160505	Ch1	0
noise	20160505	Ch1	101
noise	20160502	Ch1	94
noise	20160502	Ch1	98
noise	20160505	Ch1	105
noise	20160505	Ch1	108
noise	20160505	Ch1	10
noise	20160505	Ch1	112
noise	20160505	Ch1	115
noise	20160505	Ch1	119
noise	20160505	Ch1	122
noise	20160505	Ch1	126
noise	20160505	Ch1	129
noise	20160505	Ch1	133
noise	20160505	Ch1	136
noise	20160505	Ch1	140
noise	20160505	Ch1	143
noise	20160505	Ch1	147
noise	20160505	Ch1	154
noise	20160505	Ch1	157
noise	20160505	Ch1	14
noise	20160505	Ch1	150
noise	20160505	Ch1	161
noise	20160505	Ch1	164
noise	20160505	Ch1	168
noise	20160505	Ch1	171
noise	20160505	Ch1	175
noise	20160505	Ch1	178
noise	20160505	Ch1	17
noise	20160505	Ch1	182
noise	20160505	Ch1	192
noise	20160505	Ch1	196
noise	20160505	Ch1	185
noise	20160505	Ch1	189
noise	20160505	Ch1	199
noise	20160505	Ch1	203
noise	20160505	Ch1	213
noise	20160505	Ch1	217
noise	20160505	Ch1	206
noise	20160505	Ch1	210
noise	20160505	Ch1	21
noise	20160505	Ch1	220
noise	20160505	Ch1	224
noise	20160505	Ch1	227
noise	20160505	Ch1	231
noise	20160505	Ch1	234
noise	20160505	Ch1	238
noise	20160505	Ch1	241
noise	20160505	Ch1	245
noise	20160505	Ch1	248
noise	20160505	Ch1	24
noise	20160505	Ch1	252
noise	20160505	Ch1	255
noise	20160505	Ch1	259
noise	20160505	Ch1	262
noise	20160505	Ch1	266
noise	20160505	Ch1	269
noise	20160505	Ch1	273
noise	20160505	Ch1	276
noise	20160505	Ch1	280
noise	20160505	Ch1	28
noise	20160505	Ch1	290
noise	20160505	Ch1	283
noise	20160505	Ch1	287
noise	20160505	Ch1	294
noise	20160505	Ch1	31
noise	20160505	Ch1	3
noise	20160505	Ch1	42
noise	20160505	Ch1	35
noise	20160505	Ch1	38
noise	20160505	Ch1	45
noise	20160505	Ch1	49
noise	20160505	Ch1	52
noise	20160505	Ch1	56
noise	20160505	Ch1	59
noise	20160505	Ch1	63
noise	20160505	Ch1	66
noise	20160505	Ch1	70
noise	20160505	Ch1	73
noise	20160505	Ch1	77
noise	20160505	Ch1	7
noise	20160505	Ch1	80
noise	20160505	Ch1	84
noise	20160505	Ch1	87
noise	20160505	Ch1	98
noise	20160505	Ch1	91
noise	20160505	Ch1	94
